ano,sigla_uf,rede,diretoria,id_municipio,id_escola,id_escola_sp,codigo_tipo_escola,prop_aprovados_anos_inciais_ef,prop_reprovados_anos_iniciais_ef,prop_abandono_anos_iniciais_ef,prop_aprovados_anos_finais_ef,prop_reprovados_anos_finais_ef,prop_abandono_anos_finais_ef,prop_aprovados_em,prop_reprovados_em,prop_abandono_em
2012,SP,,LESTE 4,3550308.0,35909105,909105,,96.36,2.42,1.21,89.54,8.76,1.7,73.79,16.81,9.4
2012,SP,,SUL 2,3550308.0,35004996,4996,,94.63,2.54,2.82,76.39,8.23,15.38,56.92,,26.98
2012,SP,,MAUA,3544103.0,35041993,41993,,97.37,1.42,1.21,89.87,5.82,4.32,78.04,12.76,9.2
2012,SP,,CARAPICUIBA,3510609.0,35919068,919068,,98.19,1.29,0.52,93.67,4.07,2.26,86.06,6.85,7.09
2012,SP,,RIBEIRAO PRETO,3543402.0,35024089,24089,,95.65,2.17,2.17,83.17,7.44,9.39,72.46,10.14,17.39
2012,SP,,RIBEIRAO PRETO,3543402.0,35042882,42882,,92.73,3.27,4.0,67.26,14.59,18.15,63.92,,
2012,SP,,SANTOS,3548500.0,35909816,909816,,93.46,4.67,1.87,88.1,10.93,0.96,84.54,9.66,5.8
2012,SP,,SANTOS,3513504.0,35011691,11691,,92.56,5.79,1.65,86.29,12.5,1.21,78.23,19.35,2.42
2012,SP,,,3550308.0,35924258,924258,,91.15,7.96,0.88,86.23,13.44,0.33,,18.18,3.03
2012,SP,,SUL 2,3550308.0,35041002,41002,,87.34,6.95,5.71,78.09,8.96,12.95,56.55,40.57,2.87
2012,SP,,SUL 3,3550308.0,35041774,41774,,86.55,5.58,7.87,72.11,18.07,9.83,49.3,22.54,28.17
2012,SP,,BAURU,3506003.0,35070634,70634,,97.81,0.55,1.64,90.45,5.69,3.86,80.18,,6.76
2012,SP,,CAMPINAS OESTE,3509502.0,35046176,46176,,99.52,0.24,0.24,93.13,6.03,0.84,74.04,17.4,8.56
2012,SP,,MOGI MIRIM,3551603.0,35017673,17673,,98.42,1.05,0.53,98.93,0.53,0.53,86.84,5.26,7.89
2012,SP,,PRESIDENTE PRUDENTE,3500808.0,35031896,31896,,97.29,2.26,0.45,93.78,5.26,0.96,86.9,4.83,8.28
2012,SP,,,3550308.0,35902639,902639,,96.72,2.07,1.21,92.81,5.9,1.29,75.39,,4.65
2012,SP,,LESTE 3,3550308.0,35909129,909129,,89.88,7.14,2.98,80.99,10.37,8.64,62.41,24.06,13.53
2012,SP,,ITAQUAQUECETUBA,3523107.0,35043990,43990,,94.43,5.26,0.31,86.87,11.71,1.42,78.89,12.37,8.74
2012,SP,,LESTE 4,3550308.0,35902226,902226,,97.95,0.68,1.37,89.77,1.7,8.52,58.25,24.13,17.63
2012,SP,,SUL 1,3550308.0,35004947,4947,,98.08,0.38,1.54,71.92,20.77,7.31,48.99,25.51,25.51
2012,SP,,NORTE 2,3550308.0,35000693,693,,94.81,4.51,0.68,91.31,8.5,0.18,93.33,6.35,0.32
2012,SP,,LESTE 3,3550308.0,35904302,904302,,98.31,0.85,0.85,87.52,12.01,0.47,,24.02,2.62
2012,SP,,SUL 1,3550308.0,35046334,46334,,96.93,2.63,0.44,93.62,6.08,0.3,92.75,1.55,5.7
2012,SP,,SUL 3,3550308.0,35920997,920997,,98.26,0.87,0.87,88.84,7.37,3.79,73.66,14.29,12.05
2012,SP,,LESTE 2,3550308.0,35284300,284300,,91.25,7.5,1.25,84.74,9.22,6.04,70.54,14.73,14.73
2012,SP,,SUL 2,3550308.0,35915725,915725,,96.46,1.93,1.61,91.23,6.17,2.6,74.11,14.41,11.48
2012,SP,,ITAPECERICA DA SERRA,3526209.0,35903048,903048,,94.49,4.72,0.79,89.02,4.88,6.1,79.03,7.53,13.44
2012,SP,,GUARULHOS SUL,3518800.0,35006427,6427,,97.64,1.29,1.07,92.78,5.38,1.84,75.56,14.44,10.0
2012,SP,,CAMPINAS OESTE,3509502.0,35018156,18156,,90.78,6.91,2.3,87.96,5.84,6.2,77.34,12.5,10.16
2012,SP,,CAMPINAS OESTE,3509502.0,35914897,914897,,94.13,4.87,1.01,92.51,3.75,3.75,90.99,0.62,8.39
2012,SP,,LESTE 3,3550308.0,35044325,44325,,90.59,8.14,1.27,88.15,9.58,2.27,63.87,30.89,5.24
2012,SP,,CENTRO,3550308.0,35001570,1570,,93.47,2.57,3.96,87.01,5.82,7.16,81.44,8.31,10.25
2012,SP,,LESTE 2,3550308.0,35902871,902871,,89.12,6.07,4.81,82.3,4.97,12.73,55.59,23.4,21.01
2012,SP,,LESTE 3,3550308.0,35926048,926048,,97.08,2.59,0.32,94.67,3.65,1.68,75.43,8.67,15.9
2012,SP,,SUL 2,3550308.0,35005061,5061,,97.97,0.25,1.78,86.42,8.07,5.5,68.17,21.69,10.14
2012,SP,,SUL 2,3550308.0,35048719,48719,,91.58,1.48,6.94,75.55,7.37,17.08,,19.31,12.43
2012,SP,,MOGI MIRIM,3522604.0,35017498,17498,,93.1,5.75,1.15,93.36,2.37,4.27,89.78,0.73,9.49
2012,SP,,LESTE 5,3550308.0,35001442,1442,,92.94,3.53,3.53,81.7,10.41,7.89,80.27,14.8,4.93
2012,SP,,,3550308.0,35922912,922912,,92.27,1.66,6.08,91.79,1.49,6.72,77.68,,
2012,SP,,,3513801.0,35007407,7407,,93.85,5.08,1.07,88.07,7.33,4.6,,23.57,
